nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
mlg/07/024,kota malang,8,gne,Minor,Major,0.78,0.22,0.78,site_code,scope_of_work
kpn-07-134,kabupaten malang,9,gne,Major,Major,0.53,0.47,0.53,site_code,scope_of_work
mjk2-07-003,kota/kab mojokerto,2,c1,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
psn-07-012,kota/kab pasuruan,3,gne,Minor,Major,0.5028333333333334,0.4971666666666666,0.5028333333333334,site_code,scope_of_work
tbn-07-098,kabupaten tuban,6,pst,Minor,Minor,0.87,0.87,0.13,site_code,scope_of_work
tbn-07-138,kabupaten tuban,9,rns,Major,Major,0.99,0.01,0.99,site_code,scope_of_work
knr-07-031,kota/kab blitar,3,gne,Minor,Minor,0.83,0.83,0.17,site_code,scope_of_work
byw/07/090,kabupaten banyuwangi,8,gne,Minor,Minor,0.59,0.59,0.41,site_code,scope_of_work
sda-07-154,kabupaten sidoarjo,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bdw-07-013,kabupaten bondowoso,11,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
psr-07-199,kota/kab pasuruan,2,q2,Major,Minor,0.89,0.89,0.11,site_code,scope_of_work
byw-07-054,kabupaten banyuwangi,1,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
njk/07/068,kabupaten nganjuk,7,gne,Major,Minor,0.69,0.69,0.31,site_code,scope_of_work
mlg/07/125,kota malang,7,rns,Major,Major,0.91,0.09,0.91,site_code,scope_of_work
mlg-07-154,kota malang,2,q3,Minor,Major,0.73,0.27,0.73,site_code,scope_of_work
sit/07/074,kabupaten situbondo,12,pst,Minor,Major,0.8,0.2,0.8,site_code,scope_of_work
lmg-07-043,kabupaten lamongan,10,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
kdr1-07-004,kota/kab kediri,10,rol,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
tlg-07-090,kabupaten tulungagung,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jmr/07/155,kabupaten jember,7,gns,Minor,Major,0.93,0.07,0.93,site_code,scope_of_work
jmr-07-041,kabupaten jember,2,b4,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
gsk-07-006,kabupaten gresik,3,gne,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
tbn-07-081,kabupaten tuban,3,gne,Minor,Minor,0.86,0.86,0.14,site_code,scope_of_work
tbn-07-109,kabupaten tuban,3,gne,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
krs-07-007,kota/kab probolinggo,10,rol,Major,Minor,0.78,0.78,0.22,site_code,scope_of_work
mjy-07-131,kota/kab madiun,1,q2,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
byw-07-210,kabupaten banyuwangi,3,vw5,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg-07-061,kota malang,10,gne,Major,Minor,0.77,0.77,0.23,site_code,scope_of_work
kdr1-07-076,kota/kab kediri,11,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jbg-07-028,kabupaten jombang,5,rol,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
mgt-07-069,kabupaten magetan,1,q1,Minor,Minor,0.79,0.79,0.21,site_code,scope_of_work
krs-07-062,kota/kab probolinggo,10,gns,Minor,Major,0.94,0.06,0.94,site_code,scope_of_work
trk-07-031,kabupaten trenggalek,9,rol,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
lmg-07-054,kabupaten lamongan,1,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-092,kabupaten sidoarjo,11,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-070,kabupaten ngawi,4,rol,Major,Major,0.72,0.28,0.72,site_code,scope_of_work
tlg-07-048,kabupaten tulungagung,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
pmk-07-032,kabupaten pamekasan,4,gne,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
knr/07/018,kota/kab blitar,7,gne,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
kdr1-07-027,kota/kab kediri,4,gnp,Minor,Minor,0.64,0.64,0.36,site_code,scope_of_work
kpn/07/203,kabupaten malang,12,m9,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
jmr-07-072,kabupaten jember,2,q2,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
sby-07-189,kota surabaya,5,m9,Major,Major,0.95,0.05,0.95,site_code,scope_of_work
mjk2-07-013,kota/kab mojokerto,9,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-263,kabupaten sidoarjo,9,rns,Major,Major,0.93,0.07,0.93,site_code,scope_of_work
sby-07-002,kota surabaya,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jmr-07-075,kabupaten jember,2,a2p,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
byw-07-088,kabupaten banyuwangi,9,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-081,kabupaten sidoarjo,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-508,kota surabaya,8,rne,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
jmr-07-191,kabupaten jember,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr1-07-013,kota/kab kediri,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jbg/07/009,kabupaten jombang,12,gne,Major,Minor,0.51,0.51,0.49,site_code,scope_of_work
knr-07-109,kota/kab blitar,2,q2,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
trk/07/093,kabupaten trenggalek,12,gne,Major,Major,0.66,0.34,0.66,site_code,scope_of_work
sby-07-501,kota surabaya,11,rns,Minor,Major,0.8358333333333333,0.16416666666666666,0.8358333333333333,site_code,scope_of_work
psr/07/079,kota/kab pasuruan,8,m9,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
jbg-07-033,kabupaten jombang,8,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr1-07-019,kota/kab kediri,1,q2,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
trk-07-052,kabupaten trenggalek,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
byw-07-082,kabupaten banyuwangi,2,m9,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
kpn/07/068,kabupaten malang,8,gne,Minor,Major,0.95,0.05,0.95,site_code,scope_of_work
sby-07-142,kota surabaya,3,vw5,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
gsk-07-152,kabupaten gresik,4,rne,Minor,Major,0.83,0.17,0.83,site_code,scope_of_work
mlg-07-207,kota malang,10,rns,Major,Major,0.96,0.04,0.96,site_code,scope_of_work
psn-07-006,kota/kab pasuruan,3,vw3,Major,Major,0.67,0.33,0.67,site_code,scope_of_work
